timestamp,window,true_hr,true_spo2
2026-03-19T16:03:25.575,13,81,97
2026-03-19T16:03:27.002,13,80,97
2026-03-19T16:03:28.479,13,80,97
2026-03-19T16:03:30.079,13,80,97
2026-03-19T16:03:36.392,14,82,97
2026-03-19T16:03:39.212,14,82,97
2026-03-19T16:03:42.049,14,80,97
2026-03-19T16:03:43.457,14,79,97
2026-03-19T16:03:45.550,14,79,97
2026-03-19T16:03:49.800,15,81,96
2026-03-19T16:03:51.227,15,81,96
2026-03-19T16:03:52.419,15,82,96
2026-03-19T16:03:54.079,15,82,97
2026-03-19T16:03:55.297,15,81,97
2026-03-19T16:03:57.105,15,81,96
2026-03-19T16:03:58.817,15,80,96
2026-03-19T16:04:04.681,16,81,96
2026-03-19T16:04:06.687,16,78,96
2026-03-19T16:04:08.259,16,82,97
2026-03-19T16:04:09.429,16,84,97
2026-03-19T16:04:11.962,16,92,96
2026-03-19T16:04:14.033,16,95,96
2026-03-19T16:04:17.907,17,85,96
2026-03-19T16:04:19.371,17,81,97
2026-03-19T16:04:20.747,17,80,97
2026-03-19T16:04:22.451,17,79,97
2026-03-19T16:04:24.589,17,78,97
2026-03-19T16:04:25.858,17,74,97
2026-03-19T16:04:27.665,17,72,97
2026-03-19T16:04:32.286,18,72,98
2026-03-19T16:04:33.761,18,73,98
2026-03-19T16:04:35.712,18,73,98
2026-03-19T16:04:36.940,18,74,98
2026-03-19T16:04:40.036,18,74,98
2026-03-19T16:04:41.501,18,78,98
2026-03-19T16:04:49.626,19,77,98
2026-03-19T16:04:50.914,19,83,97
2026-03-19T16:04:53.633,19,88,97
2026-03-19T16:04:57.951,19,87,97
2026-03-19T16:05:03.838,20,81,96
2026-03-19T16:05:05.447,20,81,96
2026-03-19T16:05:07.290,20,81,96
2026-03-19T16:05:09.307,20,78,96
2026-03-19T16:05:11.391,20,77,97
2026-03-19T16:05:31.183,21,90,97
2026-03-19T16:05:32.730,21,96,97
2026-03-19T16:05:34.490,21,90,97
2026-03-19T16:05:39.887,21,74,96
2026-03-19T16:05:44.079,22,71,97
2026-03-19T16:05:45.868,22,71,97
2026-03-19T16:05:47.836,22,69,97
2026-03-19T16:05:50.082,22,68,98
2026-03-19T16:05:52.163,22,67,98
2026-03-19T16:05:53.793,22,68,99
2026-03-19T16:05:58.131,23,67,99
2026-03-19T16:05:59.903,23,67,99
2026-03-19T16:06:02.992,23,68,99
2026-03-19T16:06:05.262,23,73,98
2026-03-19T16:06:06.818,23,75,98
2026-03-19T16:06:10.679,24,70,98
2026-03-19T16:06:12.397,24,66,98
2026-03-19T16:06:13.937,24,66,98
2026-03-19T16:06:15.470,24,66,98
2026-03-19T16:06:18.248,24,65,97
