timestamp,window,true_hr,true_spo2
2026-03-19T16:29:10.503,9,74,98
2026-03-19T16:29:12.322,9,74,98
2026-03-19T16:29:13.537,9,79,98
2026-03-19T16:29:14.601,9,80,98
2026-03-19T16:29:16.192,9,81,98
2026-03-19T16:29:18.182,9,77,98
2026-03-19T16:29:19.487,9,76,98
2026-03-19T16:29:27.139,10,74,98
2026-03-19T16:29:28.324,10,73,98
2026-03-19T16:29:30.222,10,76,98
2026-03-19T16:29:32.124,10,80,98
2026-03-19T16:29:33.990,10,79,97
2026-03-19T16:29:35.326,10,75,97
2026-03-19T16:29:36.304,10,74,97
2026-03-19T16:29:38.178,11,73,97
2026-03-19T16:29:39.057,11,72,97
2026-03-19T16:29:39.935,11,73,97
2026-03-19T16:29:40.947,11,74,97
2026-03-19T16:29:42.057,11,74,97
2026-03-19T16:29:43.240,11,74,97
2026-03-19T16:29:44.131,11,72,97
2026-03-19T16:29:46.218,11,73,97
2026-03-19T16:29:47.532,11,74,97
2026-03-19T16:29:51.620,12,79,97
2026-03-19T16:29:52.618,12,80,97
2026-03-19T16:29:53.678,12,80,97
2026-03-19T16:29:54.805,12,80,97
2026-03-19T16:29:56.161,12,80,97
2026-03-19T16:29:57.397,12,81,97
2026-03-19T16:30:00.843,12,80,97
2026-03-19T16:30:03.608,13,78,97
2026-03-19T16:30:04.528,13,77,97
2026-03-19T16:30:05.928,13,76,97
2026-03-19T16:30:07.309,13,76,97
2026-03-19T16:30:08.515,13,77,97
2026-03-19T16:30:09.811,13,76,97
2026-03-19T16:30:11.038,13,77,97
2026-03-19T16:30:12.002,13,78,97
2026-03-19T16:30:12.974,13,78,97
2026-03-19T16:30:16.246,14,75,97
2026-03-19T16:30:17.907,14,75,97
2026-03-19T16:30:18.902,14,74,97
2026-03-19T16:30:19.984,14,75,97
2026-03-19T16:30:21.731,14,76,97
2026-03-19T16:30:23.037,14,76,97
2026-03-19T16:30:30.089,15,78,97
2026-03-19T16:30:31.356,15,78,97
2026-03-19T16:30:34.371,15,79,97
2026-03-19T16:30:35.577,15,79,97
2026-03-19T16:30:36.787,15,78,97
2026-03-19T16:30:38.298,15,77,97
2026-03-19T16:30:39.477,15,76,97
2026-03-19T16:30:47.825,16,79,97
2026-03-19T16:30:49.044,16,81,97
2026-03-19T16:30:50.237,16,81,97
2026-03-19T16:30:51.114,16,83,97
2026-03-19T16:30:52.034,16,86,97
2026-03-19T16:30:53.803,16,90,97
2026-03-19T16:30:55.550,16,92,97
2026-03-19T16:30:56.510,16,92,97
2026-03-19T16:30:57.553,16,90,97
2026-03-19T16:31:01.212,17,81,97
2026-03-19T16:31:02.810,17,79,97
2026-03-19T16:31:04.282,17,75,97
2026-03-19T16:31:06.344,17,71,97
2026-03-19T16:31:08.028,17,72,98
2026-03-19T16:31:09.224,17,73,98
2026-03-19T16:31:10.153,17,74,98
2026-03-19T16:31:12.334,18,74,98
2026-03-19T16:31:13.378,18,74,98
2026-03-19T16:31:14.390,18,72,98
2026-03-19T16:31:15.413,18,71,98
2026-03-19T16:31:16.688,18,70,98
2026-03-19T16:31:17.759,18,69,98
2026-03-19T16:31:19.245,18,68,98
2026-03-19T16:31:20.297,18,68,98
2026-03-19T16:31:21.352,18,69,98
2026-03-19T16:31:26.331,19,72,99
2026-03-19T16:31:28.137,19,72,99
2026-03-19T16:31:29.389,19,71,99
2026-03-19T16:31:30.758,19,68,99
2026-03-19T16:31:32.425,19,66,98
2026-03-19T16:31:33.646,19,66,98
2026-03-19T16:31:34.599,19,67,98
2026-03-19T16:31:37.502,20,69,98
2026-03-19T16:31:38.836,20,69,97
2026-03-19T16:31:40.173,20,71,97
2026-03-19T16:31:41.020,20,72,97
2026-03-19T16:31:42.113,20,74,97
2026-03-19T16:31:43.850,20,76,97
2026-03-19T16:31:45.218,20,79,97
2026-03-19T16:31:46.800,20,98,97
2026-03-19T16:31:50.127,21,71,96
2026-03-19T16:31:51.656,21,70,96
2026-03-19T16:31:53.099,21,70,96
2026-03-19T16:31:54.205,21,70,96
2026-03-19T16:31:55.605,21,70,96
2026-03-19T16:31:57.112,21,72,96
2026-03-19T16:31:58.895,21,72,96
2026-03-19T16:32:02.094,22,70,95
2026-03-19T16:32:03.322,22,70,95
2026-03-19T16:32:04.871,22,72,95
2026-03-19T16:32:07.434,22,75,95
2026-03-19T16:32:08.991,22,82,96
2026-03-19T16:32:11.818,22,89,96
2026-03-19T16:32:17.664,23,91,96
2026-03-19T16:32:19.190,23,82,96
2026-03-19T16:32:21.179,23,81,96
2026-03-19T16:32:22.171,23,77,96
2026-03-19T16:32:23.076,23,78,97
2026-03-19T16:32:24.054,23,82,97
2026-03-19T16:32:25.453,23,82,97
2026-03-19T16:32:26.270,23,82,97
2026-03-19T16:32:30.937,24,84,98
2026-03-19T16:32:31.953,24,83,98
2026-03-19T16:32:32.948,24,81,98
2026-03-19T16:32:34.016,24,81,98
2026-03-19T16:32:35.035,24,82,98
2026-03-19T16:32:36.438,24,82,98
2026-03-19T16:32:39.308,24,81,98
2026-03-19T16:32:40.240,24,77,98
2026-03-19T16:32:42.443,25,76,98
2026-03-19T16:32:44.228,25,77,98
2026-03-19T16:32:45.756,25,79,98
2026-03-19T16:32:47.392,25,82,98
2026-03-19T16:32:48.728,25,82,98
2026-03-19T16:32:50.344,25,81,98
2026-03-19T16:32:51.559,25,82,98
2026-03-19T16:32:55.282,26,74,98
2026-03-19T16:32:56.176,26,73,98
2026-03-19T16:32:57.304,26,73,97
2026-03-19T16:32:58.258,26,74,97
2026-03-19T16:32:59.644,26,75,97
2026-03-19T16:33:01.796,26,76,97
2026-03-19T16:33:03.310,26,77,97
2026-03-19T16:33:04.274,26,77,97
2026-03-19T16:33:06.315,27,77,97
2026-03-19T16:33:08.419,27,78,97
2026-03-19T16:33:09.459,27,78,97
2026-03-19T16:33:10.535,27,78,97
2026-03-19T16:33:11.611,27,78,97
2026-03-19T16:33:12.641,27,79,97
2026-03-19T16:33:13.530,27,81,97
2026-03-19T16:33:14.669,27,83,97
2026-03-19T16:33:16.207,27,84,97
2026-03-19T16:33:18.143,28,84,97
2026-03-19T16:33:19.289,28,84,97
2026-03-19T16:33:21.423,28,84,97
2026-03-19T16:33:23.268,28,84,97
2026-03-19T16:33:24.665,28,84,97
2026-03-19T16:33:25.667,28,84,97
2026-03-19T16:33:27.095,28,82,97
2026-03-19T16:33:29.643,29,82,97
2026-03-19T16:33:31.157,29,83,97
2026-03-19T16:33:32.986,29,84,97
2026-03-19T16:33:34.072,29,86,97
2026-03-19T16:33:35.711,29,85,97
2026-03-19T16:33:38.753,29,83,97
2026-03-19T16:33:40.681,30,81,97
2026-03-19T16:33:43.385,30,80,97
2026-03-19T16:33:44.633,30,80,97
2026-03-19T16:33:45.899,30,80,97
2026-03-19T16:33:47.115,30,80,97
2026-03-19T16:33:48.217,30,81,97
2026-03-19T16:33:49.385,30,81,97
2026-03-19T16:33:53.710,31,78,97
2026-03-19T16:33:55.541,31,79,97
2026-03-19T16:33:57.183,31,78,97
2026-03-19T16:33:59.132,31,79,97
2026-03-19T16:34:00.990,31,78,97
2026-03-19T16:34:01.986,31,78,97
2026-03-19T16:34:03.167,31,79,97
2026-03-19T16:34:06.113,32,89,97
2026-03-19T16:34:07.775,32,92,97
2026-03-19T16:34:09.130,32,93,97
2026-03-19T16:34:10.163,32,92,97
2026-03-19T16:34:11.519,32,92,97
2026-03-19T16:34:13.296,32,91,97
2026-03-19T16:34:14.389,32,92,97
2026-03-19T16:34:15.500,32,92,97
2026-03-19T16:34:18.113,33,95,97
2026-03-19T16:34:20.176,33,93,97
2026-03-19T16:34:24.092,33,91,98
2026-03-19T16:34:26.071,33,91,98
2026-03-19T16:34:27.611,33,90,98
2026-03-19T16:34:29.766,34,89,98
2026-03-19T16:34:32.543,34,90,98
2026-03-19T16:34:33.465,34,92,98
2026-03-19T16:34:34.687,34,93,98
2026-03-19T16:34:37.745,34,94,98
2026-03-19T16:34:38.790,34,94,98
2026-03-19T16:34:41.594,35,94,98
2026-03-19T16:34:42.768,35,94,98
2026-03-19T16:34:44.031,35,94,98
2026-03-19T16:34:46.172,35,94,98
2026-03-19T16:34:47.328,35,93,98
2026-03-19T16:34:48.502,35,94,98
2026-03-19T16:34:50.500,35,97,97
2026-03-19T16:34:57.550,36,104,97
2026-03-19T16:34:59.117,36,102,97
2026-03-19T16:35:00.253,36,102,97
2026-03-19T16:35:01.611,36,102,97
2026-03-19T16:35:04.257,36,105,97
2026-03-19T16:35:05.857,36,103,98
2026-03-19T16:35:09.821,37,100,99
2026-03-19T16:35:12.261,37,92,99
2026-03-19T16:35:15.139,37,91,98
2026-03-19T16:35:17.911,37,94,98
2026-03-19T16:35:25.825,38,96,98
2026-03-19T16:35:27.572,38,99,98
2026-03-19T16:35:29.165,38,99,98
2026-03-19T16:35:30.590,38,99,98
2026-03-19T16:35:35.210,38,100,98
2026-03-19T16:35:41.117,39,96,98
2026-03-19T16:35:42.122,39,98,98
2026-03-19T16:35:43.545,39,97,98
2026-03-19T16:35:44.967,39,98,98
2026-03-19T16:35:47.520,39,99,98
2026-03-19T16:35:49.002,39,97,98
2026-03-19T16:35:52.384,40,94,97
2026-03-19T16:35:53.588,40,95,97
2026-03-19T16:35:55.307,40,97,97
2026-03-19T16:35:56.637,40,93,97
2026-03-19T16:35:58.021,40,88,97
2026-03-19T16:35:59.284,40,84,97
2026-03-19T16:36:00.995,40,85,98
2026-03-19T16:36:03.350,41,88,98
2026-03-19T16:36:04.378,41,89,98
2026-03-19T16:36:05.438,41,88,98
2026-03-19T16:36:06.862,41,90,97
2026-03-19T16:36:09.313,41,89,97
2026-03-19T16:36:10.354,41,85,97
2026-03-19T16:36:11.469,41,84,97
2026-03-19T16:36:15.045,42,86,97
2026-03-19T16:36:16.590,42,92,97
2026-03-19T16:36:18.243,42,94,97
2026-03-19T16:36:19.915,42,94,97
2026-03-19T16:36:21.547,42,95,96
2026-03-19T16:36:23.292,42,92,96
2026-03-19T16:36:24.919,42,91,96
