timestamp,window,sample,ir_raw,red_raw
2026-03-19T16:32:19.335,23,41,253129,179769
2026-03-19T16:32:19.375,23,42,253129,179769
2026-03-19T16:32:19.415,23,43,253265,179823
2026-03-19T16:32:19.455,23,44,253265,179823
2026-03-19T16:32:19.494,23,45,253265,179823
2026-03-19T16:32:19.535,23,46,253265,179823
2026-03-19T16:32:19.575,23,47,253507,179907
2026-03-19T16:32:19.614,23,48,253507,179907
2026-03-19T16:32:19.654,23,49,253507,179907
2026-03-19T16:32:19.694,23,50,253507,179907
2026-03-19T16:32:19.734,23,51,253639,179947
2026-03-19T16:32:19.774,23,52,253639,179947
2026-03-19T16:32:19.813,23,53,253639,179947
2026-03-19T16:32:19.853,23,54,253639,179947
2026-03-19T16:32:19.893,23,55,253329,179855
2026-03-19T16:32:19.933,23,56,253329,179855
2026-03-19T16:32:19.973,23,57,253329,179855
2026-03-19T16:32:20.013,23,58,253329,179855
2026-03-19T16:32:20.052,23,59,253454,179907
2026-03-19T16:32:20.092,23,60,253454,179907
2026-03-19T16:32:20.132,23,61,253454,179907
2026-03-19T16:32:20.172,23,62,253454,179907
2026-03-19T16:32:20.213,23,63,253685,179990
2026-03-19T16:32:20.252,23,64,253685,179990
2026-03-19T16:32:20.291,23,65,253685,179990
2026-03-19T16:32:20.331,23,66,253685,179990
2026-03-19T16:32:20.371,23,67,253840,180042
2026-03-19T16:32:20.412,23,68,253840,180042
2026-03-19T16:32:20.451,23,69,253840,180042
2026-03-19T16:32:20.491,23,70,253840,180042
2026-03-19T16:32:20.531,23,71,253628,179995
2026-03-19T16:32:20.571,23,72,253628,179995
2026-03-19T16:32:20.610,23,73,253628,179995
2026-03-19T16:32:20.651,23,74,253628,179995
2026-03-19T16:32:20.691,23,75,253628,180009
2026-03-19T16:32:20.730,23,76,253628,180009
2026-03-19T16:32:20.771,23,77,253628,180009
2026-03-19T16:32:20.810,23,78,253628,180009
2026-03-19T16:32:20.850,23,79,253765,180061
2026-03-19T16:32:20.894,23,80,253765,180061
2026-03-19T16:32:20.930,23,81,253765,180061
2026-03-19T16:32:20.969,23,82,253765,180061
2026-03-19T16:32:21.010,23,83,254054,180165
2026-03-19T16:32:21.050,23,84,254054,180165
2026-03-19T16:32:21.089,23,85,254054,180165
2026-03-19T16:32:21.129,23,86,254054,180165
2026-03-19T16:32:21.169,23,87,253986,180162
2026-03-19T16:32:21.209,23,88,253986,180162
2026-03-19T16:32:21.248,23,89,253986,180162
2026-03-19T16:32:21.289,23,90,253986,180162
2026-03-19T16:32:21.329,23,91,253776,180099
2026-03-19T16:32:21.368,23,92,253776,180099
2026-03-19T16:32:21.408,23,93,253776,180099
2026-03-19T16:32:21.448,23,94,253776,180099
2026-03-19T16:32:21.488,23,95,253884,180138
2026-03-19T16:32:21.528,23,96,253884,180138
2026-03-19T16:32:21.568,23,97,253884,180138
2026-03-19T16:32:21.608,23,98,253884,180138
2026-03-19T16:32:21.647,23,99,254088,180209
2026-03-19T16:32:21.687,23,100,254088,180209
2026-03-19T16:32:21.728,23,101,254088,180209
2026-03-19T16:32:21.767,23,102,254088,180209
2026-03-19T16:32:21.808,23,103,254196,180250
2026-03-19T16:32:21.846,23,104,254196,180250
2026-03-19T16:32:21.886,23,105,254196,180250
2026-03-19T16:32:21.927,23,106,254196,180250
2026-03-19T16:32:21.966,23,107,253805,180128
2026-03-19T16:32:22.006,23,108,253805,180128
2026-03-19T16:32:22.046,23,109,253805,180128
2026-03-19T16:32:22.086,23,110,253805,180128
2026-03-19T16:32:22.126,23,111,253828,180137
2026-03-19T16:32:22.165,23,112,253828,180137
2026-03-19T16:32:22.206,23,113,253828,180137
2026-03-19T16:32:22.245,23,114,253828,180137
2026-03-19T16:32:22.285,23,115,254008,180184
2026-03-19T16:32:22.325,23,116,254008,180184
2026-03-19T16:32:22.364,23,117,254008,180184
2026-03-19T16:32:22.405,23,118,254008,180184
2026-03-19T16:32:22.444,23,119,254243,180265
2026-03-19T16:32:22.484,23,120,254243,180265
2026-03-19T16:32:22.524,23,121,254243,180265
2026-03-19T16:32:22.565,23,122,254243,180265
2026-03-19T16:32:22.604,23,123,253841,180154
2026-03-19T16:32:22.644,23,124,253841,180154
2026-03-19T16:32:22.684,23,125,253841,180154
2026-03-19T16:32:22.724,23,126,253841,180154
2026-03-19T16:32:22.764,23,127,253845,180160
2026-03-19T16:32:22.803,23,128,253845,180160
2026-03-19T16:32:22.843,23,129,253845,180160
2026-03-19T16:32:22.883,23,130,253845,180160
2026-03-19T16:32:22.923,23,131,253967,180193
2026-03-19T16:32:22.963,23,132,253967,180193
2026-03-19T16:32:23.003,23,133,253967,180193
2026-03-19T16:32:23.042,23,134,253967,180193
2026-03-19T16:32:23.083,23,135,254176,180266
2026-03-19T16:32:23.123,23,136,254176,180266
2026-03-19T16:32:23.162,23,137,254176,180266
2026-03-19T16:32:23.202,23,138,254176,180266
2026-03-19T16:32:23.242,23,139,253882,180174
2026-03-19T16:32:23.282,23,140,253882,180174
2026-03-19T16:32:23.321,23,141,253882,180174
2026-03-19T16:32:23.362,23,142,253882,180174
2026-03-19T16:32:23.402,23,143,253792,180165
2026-03-19T16:32:23.441,23,144,253792,180165
2026-03-19T16:32:23.481,23,145,253792,180165
2026-03-19T16:32:23.521,23,146,253792,180165
2026-03-19T16:32:23.561,23,147,253872,180172
2026-03-19T16:32:23.600,23,148,253872,180172
2026-03-19T16:32:23.640,23,149,253872,180172
2026-03-19T16:32:23.680,23,150,253872,180172
2026-03-19T16:32:23.721,23,151,254120,180250
2026-03-19T16:32:23.760,23,152,254120,180250
2026-03-19T16:32:23.801,23,153,254120,180250
2026-03-19T16:32:23.840,23,154,254120,180250
2026-03-19T16:32:23.881,23,155,253901,180191
2026-03-19T16:32:23.920,23,156,253901,180191
2026-03-19T16:32:23.960,23,157,253901,180191
2026-03-19T16:32:23.999,23,158,253901,180191
2026-03-19T16:32:24.039,23,159,253796,180172
2026-03-19T16:32:24.079,23,160,253796,180172
2026-03-19T16:32:24.119,23,161,253796,180172
2026-03-19T16:32:24.159,23,162,253796,180172
2026-03-19T16:32:24.199,23,163,253833,180184
2026-03-19T16:32:24.238,23,164,253833,180184
2026-03-19T16:32:24.279,23,165,253833,180184
2026-03-19T16:32:24.318,23,166,253833,180184
2026-03-19T16:32:24.358,23,167,254000,180238
2026-03-19T16:32:24.398,23,168,254000,180238
2026-03-19T16:32:24.438,23,169,254000,180238
2026-03-19T16:32:24.478,23,170,254000,180238
2026-03-19T16:32:24.517,23,171,253802,180173
2026-03-19T16:32:24.557,23,172,253802,180173
2026-03-19T16:32:24.597,23,173,253802,180173
2026-03-19T16:32:24.637,23,174,253802,180173
2026-03-19T16:32:24.677,23,175,253562,180108
2026-03-19T16:32:24.717,23,176,253562,180108
2026-03-19T16:32:24.757,23,177,253562,180108
2026-03-19T16:32:24.797,23,178,253562,180108
2026-03-19T16:32:24.837,23,179,253566,180099
2026-03-19T16:32:24.877,23,180,253566,180099
2026-03-19T16:32:24.917,23,181,253566,180099
2026-03-19T16:32:24.957,23,182,253566,180099
2026-03-19T16:32:24.996,23,183,253626,180125
2026-03-19T16:32:25.036,23,184,253626,180125
2026-03-19T16:32:25.076,23,185,253626,180125
2026-03-19T16:32:25.116,23,186,253626,180125
2026-03-19T16:32:25.155,23,187,253390,180049
2026-03-19T16:32:25.195,23,188,253390,180049
2026-03-19T16:32:25.236,23,189,253390,180049
2026-03-19T16:32:25.275,23,190,253390,180049
2026-03-19T16:32:25.316,23,191,253085,179970
2026-03-19T16:32:25.356,23,192,253085,179970
2026-03-19T16:32:25.395,23,193,253085,179970
2026-03-19T16:32:25.435,23,194,253085,179970
2026-03-19T16:32:25.475,23,195,253044,179947
2026-03-19T16:32:25.515,23,196,253044,179947
2026-03-19T16:32:25.555,23,197,253044,179947
2026-03-19T16:32:25.595,23,198,253044,179947
2026-03-19T16:32:25.634,23,199,253130,179973
2026-03-19T16:32:25.674,23,200,253130,179973
2026-03-19T16:32:25.714,23,201,253130,179973
2026-03-19T16:32:25.754,23,202,253130,179973
2026-03-19T16:32:25.794,23,203,252997,179935
2026-03-19T16:32:25.834,23,204,252997,179935
2026-03-19T16:32:25.874,23,205,252997,179935
2026-03-19T16:32:25.913,23,206,252997,179935
2026-03-19T16:32:25.954,23,207,252619,179830
2026-03-19T16:32:25.993,23,208,252619,179830
2026-03-19T16:32:26.033,23,209,252619,179830
2026-03-19T16:32:26.073,23,210,252619,179830
2026-03-19T16:32:26.113,23,211,252625,179820
2026-03-19T16:32:26.153,23,212,252625,179820
2026-03-19T16:32:26.193,23,213,252625,179820
2026-03-19T16:32:26.233,23,214,252625,179820
2026-03-19T16:32:26.272,23,215,252767,179862
2026-03-19T16:32:26.312,23,216,252767,179862
2026-03-19T16:32:26.352,23,217,252767,179862
